bioguide,thomas,lis,govtrack,opensecrets,votesmart,fec,cspan,wikipedia,house_history,ballotpedia,maplight,icpsr,wikidata,google_entity_id,pictorial,first_name,middle_name,last_name,nickname,suffix,official_full_name,birthday,gender,term_type,term_start,term_end,state,district,senate_class,party,caucus,state_rank,url,address,phone,fax,contact_form,office,rss_url,how_appointed
C000127,00172,S275,300018,N00007836,27122,S8WA00194;H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,,Cantwell,,,Maria Cantwell,1958-10-13,F,rep,1993-01-05,1995-01-03,WA,1,,Democrat,,,,,,,,,,
C000127,00172,S275,300018,N00007836,27122,S8WA00194;H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,,Cantwell,,,Maria Cantwell,1958-10-13,F,sen,2001-01-03,2007-01-03,WA,,1,Democrat,,,http://cantwell.senate.gov,,,,,,,
C000127,00172,S275,300018,N00007836,27122,S8WA00194;H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,,Cantwell,,,Maria Cantwell,1958-10-13,F,sen,2007-01-04,2013-01-03,WA,,1,Democrat,,,http://cantwell.senate.gov,311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3441,202-228-0514,http://www.cantwell.senate.gov/contact/,311 Hart Senate Office Building,,
C000127,00172,S275,300018,N00007836,27122,S8WA00194;H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,,Cantwell,,,Maria Cantwell,1958-10-13,F,sen,2013-01-03,2019-01-03,WA,,1,Democrat,,junior,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,202-228-0514,http://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,
C000127,00172,S275,300018,N00007836,27122,S8WA00194;H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,,Cantwell,,,Maria Cantwell,1958-10-13,F,sen,2019-01-03,2025-01-03,WA,,1,Democrat,,junior,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,,https://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,
C000127,00172,S275,300018,N00007836,27122,S8WA00194;H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,,Cantwell,,,Maria Cantwell,1958-10-13,F,sen,2025-01-03,2031-01-03,WA,,1,Democrat,,junior,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,,https://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Jean,Klobuchar,,,Amy Klobuchar,1960-05-25,F,sen,2007-01-04,2013-01-03,MN,,1,Democrat,,,http://klobuchar.senate.gov/,302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/emailamy.cfm,302 Hart Senate Office Building,,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Jean,Klobuchar,,,Amy Klobuchar,1960-05-25,F,sen,2013-01-03,2019-01-03,MN,,1,Democrat,,senior,https://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/public/index.cfm/contact,302 Hart Senate Office Building,,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Jean,Klobuchar,,,Amy Klobuchar,1960-05-25,F,sen,2019-01-03,2025-01-03,MN,,1,Democrat,,senior,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,,https://www.klobuchar.senate.gov/public/index.cfm/contact,425 Dirksen Senate Office Building,,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Jean,Klobuchar,,,Amy Klobuchar,1960-05-25,F,sen,2025-01-03,2031-01-03,MN,,1,Democrat,,senior,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,,https://www.klobuchar.senate.gov/public/index.cfm/contact,425 Dirksen Senate Office Building,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,rep,1991-01-03,1993-01-03,VT,0,,Independent,Democrat,,,,,,,,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,rep,1993-01-05,1995-01-03,VT,0,,Independent,Democrat,,,,,,,,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,rep,1995-01-04,1997-01-03,VT,0,,Independent,Democrat,,,,,,,,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,rep,1997-01-07,1999-01-03,VT,0,,Independent,Democrat,,,,,,,,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,rep,1999-01-06,2001-01-03,VT,0,,Independent,Democrat,,,,,,,,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,rep,2001-01-03,2003-01-03,VT,0,,Independent,Democrat,,,,,,,,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,rep,2003-01-07,2005-01-03,VT,0,,Independent,Democrat,,http://bernie.house.gov,,,,,,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,rep,2005-01-04,2007-01-03,VT,0,,Independent,Democrat,,http://bernie.house.gov,,,,,,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,sen,2007-01-04,2013-01-03,VT,,1,Independent,Democrat,,http://sanders.senate.gov/,332 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5141,202-228-0776,http://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,sen,2013-01-03,2019-01-03,VT,,1,Independent,Democrat,junior,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,202-228-0776,http://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,http://www.sanders.senate.gov/rss/,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,sen,2019-01-03,2025-01-03,VT,,1,Independent,Democrat,senior,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,,https://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,http://www.sanders.senate.gov/rss/,
S000033,01010,S313,400357,N00000528,27110,H8VT01016;S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,,Sanders,Bernie,,Bernard Sanders,1941-09-08,M,sen,2025-01-03,2031-01-03,VT,,1,Independent,Democrat,senior,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,,https://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,http://www.sanders.senate.gov/rss/,
W000802,01823,S316,412247,N00027533,2572,S6RI00221,92235,Sheldon Whitehouse,,Sheldon Whitehouse,728,40704,Q652066,kg:/m/07qw94,13372,Sheldon,,Whitehouse,,,Sheldon Whitehouse,1955-10-20,M,sen,2007-01-04,2013-01-03,RI,,1,Democrat,,,http://whitehouse.senate.gov/,717 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2921,202-228-6362,http://www.whitehouse.senate.gov/contact/,717 Hart Senate Office Building,,
