bioguide,thomas,lis,govtrack,opensecrets,votesmart,fec,cspan,wikipedia,house_history,ballotpedia,maplight,icpsr,wikidata,google_entity_id,pictorial,first_name,middle_name,last_name,nickname,suffix,official_full_name,birthday,gender,term_type,term_start,term_end,state,district,senate_class,party,caucus,state_rank,url,address,phone,fax,contact_form,office,rss_url,how_appointed
B000226,,,401222,,,,,Richard Bassett (Delaware politician),,,,507,Q518823,kg:/m/02pz46,,Richard,,Bassett,,,,1745-04-02,M,sen,1789-03-04,1793-03-03,DE,,2,Anti-Administration,,,,,,,,,,
B000546,,,401521,,,,,Theodorick Bland (congressman),9479,,,786,Q1749152,kg:/m/033mf4,,Theodorick,,Bland,,,,1742-03-21,M,rep,1789-03-04,1791-03-03,VA,9,,,,,,,,,,,,
B001086,,,402032,,,,,Aedanus Burke,10177,,,1260,Q380504,kg:/m/03yccv,,Aedanus,,Burke,,,,1743-06-16,M,rep,1789-03-04,1791-03-03,SC,2,,,,,,,,,,,,
C000187,,,402334,,,,,Daniel Carroll,10687,,,1538,Q674371,kg:/m/02q22c,,Daniel,,Carroll,,,,1730-07-22,M,rep,1789-03-04,1791-03-03,MD,6,,,,,,,,,,,,
C000538,,,402671,,,,,George Clymer,11120,,,1859,Q708913,kg:/m/01mpsj,,George,,Clymer,,,,1739-03-16,M,rep,1789-03-04,1791-03-03,PA,-1,,,,,,,,,,,,
C000710,,,402834,,,,,Benjamin Contee,11343,,,2010,Q868334,kg:/m/03xb7p,,Benjamin,,Contee,,,,,M,rep,1789-03-04,1791-03-03,MD,3,,,,,,,,,,,,
D000013,,,403156,,,,,Tristram Dalton,,,,2307,Q1365791,kg:/m/03ynvb,,Tristram,,Dalton,,,,1738-05-28,M,sen,1789-03-04,1791-03-03,MA,,1,Pro-Administration,,,,,,,,,,
E000155,,,403846,,,,,Jonathan Elmer,12784,,,2943,Q929830,kg:/m/03zxl_,,Jonathan,,Elmer,,,,1745-11-29,M,sen,1789-03-04,1791-03-03,NJ,,1,Pro-Administration,,,,,,,,,,
F000100,,,404057,,,,,William Few,13100,,,3128,Q664099,kg:/m/02pz57,,William,,Few,,,,1748-06-08,M,sen,1789-03-04,1793-03-03,GA,,2,Anti-Administration,,,,,,,,,,
F000224,,,404179,,,,,William Floyd,13251,,,3237,Q1381060,kg:/m/01mpvf,,William,,Floyd,,,,1734-12-17,M,rep,1789-03-04,1791-03-03,NY,1,,,,,,,,,,,,
G000012,,,404389,,,,,George Gale (congressman),13580,,,3430,Q1619320,kg:/m/03_mdj,,George,,Gale,,,,1756-06-03,M,rep,1789-03-04,1791-03-03,MD,5,,,,,,,,,,,,
G000403,,,404753,,,,,William Grayson,14074,,,3771,Q471060,kg:/m/03zxy1,,William,,Grayson,,,,,M,sen,1789-03-04,1791-03-03,VA,,1,Anti-Administration,,,,,,,,,,
G000500,,,404845,,,,,Jonathan Grout,14192,,,3857,Q1703183,kg:/m/08tx4v,,Jonathan,,Grout,,,,1737-07-23,M,rep,1789-03-04,1791-03-03,MA,8,,,,,,,,,,,,
H000368,,,405237,,,,,Benjamin Hawkins,14735,,,4212,Q2896102,kg:/m/02g9m0,,Benjamin,,Hawkins,,,,1754-08-15,M,sen,1789-03-04,1795-03-03,NC,,3,Pro-Administration,,,,,,,,,,
H000995,,,405835,,,,,Benjamin Huntington,15507,,,4766,Q581141,kg:/m/04vfjf,,Benjamin,,Huntington,,,,1736-04-19,M,rep,1789-03-04,1791-03-03,CT,-1,,,,,,,,,,,,
I000053,,,412129,,,,,Ralph Izard,15684,,,4837,Q969896,kg:/m/0376kk,,Ralph,,Izard,,,,,M,sen,1789-03-04,1795-03-03,SC,,3,Pro-Administration,,,,,,,,,,
J000182,,,406077,,,,,William Samuel Johnson,15927,,,4998,Q182543,kg:/m/02pyzk,,William,Samuel,Johnson,,,,1727-10-07,M,sen,1789-03-04,1791-12-31,CT,,3,Pro-Administration,,,,,,,,,,
J000198,,,406093,,,,,Samuel Johnston,15947,,,5012,Q730149,kg:/m/02j2g3,,Samuel,,Johnston,,,,1733-12-15,M,sen,1789-03-04,1793-03-03,NC,,2,Pro-Administration,,,,,,,,,,
L000201,,,406704,,,,,Richard Henry Lee,16846,,,5565,Q725907,kg:/m/06k58,,Richard,Henry,Lee,,,,1732-01-20,M,sen,1789-03-04,1793-03-03,VA,,2,Anti-Administration,,,,,,,,,,
