"Downloaded on",10/08/2025,"19:21:56 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22congrecord%22%2C%22search%22%3A%22homeless%22%7D

Title,URL,"Issue Date",Section,Volume,Number,Page
"HOMELESS WOMEN VETERANS AND HOMELESS VETERANS WITH CHILDREN ACT; Congressional Record Vol. 156, No. 94",https://www.congress.gov/congressional-record/volume-156/issue-94/senate-section/article/S5230-1,06/22/2010,,156,94,S5230
"HOMELESS VETERANS",https://www.congress.gov/congressional-record/volume-144/issue-21/house-section/article/H883-3,03/05/1998,,144,21,H883
"BRINGING ATTENTION TO HUNGER AND HOMELESSNESS DURING NATIONAL HUNGER AND HOMELESSNESS WEEK; Congressional Record Vol. 165, No. 186",https://www.congress.gov/congressional-record/volume-165/issue-186/house-section/article/H9068-1,11/20/2019,,165,186,H9068
"PROTECT VOTING RIGHTS FOR THE HOMELESS; THE VOTING RIGHTS OF HOMELESS CITIZENS ACT OF 1997; Congressional Record Vol. 143, No. 1",https://www.congress.gov/congressional-record/volume-143/issue-1/extensions-of-remarks-section/article/E37-3,01/07/1997,,143,1,E37
"INTRODUCTION OF H.R. 293, THE HOMELESS WOMEN VETERAN AND HOMELESS VETERANS WITH CHILDREN REINTEGRATION GRANT PROGRAM ACT OF 2009; Congressional Record Vol. 155, No. 3",https://www.congress.gov/congressional-record/volume-155/issue-3/extensions-of-remarks-section/article/E41-4,01/08/2009,,155,3,E41
"HOMELESS VETERANS; Congressional Record Vol. 152, No. 114",https://www.congress.gov/congressional-record/volume-152/issue-114/extensions-of-remarks-section/article/E1722-5,09/14/2006,,152,114,E1722
"ADDRESSING HOMELESSNESS; Congressional Record Vol. 143, No. 74",https://www.congress.gov/congressional-record/volume-143/issue-74/extensions-of-remarks-section/article/E1098-2,06/03/1997,,143,74,E1098
"END VETERAN HOMELESSNESS; Congressional Record Vol. 157, No. 43",https://www.congress.gov/congressional-record/volume-157/issue-43/extensions-of-remarks-section/article/E543-4,03/29/2011,,157,43,E543
"HOMELESS VETERAN FAMILIES ACT; Congressional Record Vol. 165, No. 162",https://www.congress.gov/congressional-record/volume-165/issue-162/house-section/article/H8135-1,10/15/2019,,165,162,H8135
"HOMELESS VETERANS EXPANSION ACT; Congressional Record Vol. 159, No. 157",https://www.congress.gov/congressional-record/volume-159/issue-157/senate-section/article/S7886-2,11/06/2013,,159,157,S7886
"HELP FOR HOMELESS VETERANS; Congressional Record Vol. 145, No. 57",https://www.congress.gov/congressional-record/volume-145/issue-57/extensions-of-remarks-section/article/E765-4,04/26/1999,,145,57,E765
"HOMELESSNESS AND HOUSING INSECURITY; Congressional Record Vol. 165, No. 29",https://www.congress.gov/congressional-record/volume-165/issue-29/extensions-of-remarks-section/article/E184-5,02/14/2019,,165,29,E184
"HOMELESSNESS; Congressional Record Vol. 163, No. 122",https://www.congress.gov/congressional-record/volume-163/issue-122/house-section/article/H6027-3,07/19/2017,,163,122,H6027
"HOMELESSNESS AND POVERTY; Congressional Record Vol. 153, No. 166",https://www.congress.gov/congressional-record/volume-153/issue-166/house-section/article/H12160-2,10/30/2007,,153,166,H12160
"FIGHTING YOUTH HOMELESSNESS; Congressional Record Vol. 161, No. 13",https://www.congress.gov/congressional-record/volume-161/issue-13/house-section/article/H621-3,01/27/2015,,161,13,H621
"THE HOMELESS MIDDLE CLASS; Congressional Record Vol. 160, No. 33",https://www.congress.gov/congressional-record/volume-160/issue-33/house-section/article/H2007-2,02/27/2014,,160,33,H2007
"HOMELESSNESS AMONG OUR VETERANS; Congressional Record Vol. 157, No. 167",https://www.congress.gov/congressional-record/volume-157/issue-167/house-section/article/H7268-1,11/03/2011,,157,167,H7268
"HOMELESS ASSISTANCE ACT OF 2019; Congressional Record Vol. 166, No. 7",https://www.congress.gov/congressional-record/volume-166/issue-7/house-section/article/H186-1,01/13/2020,,166,7,H186
"NATIONAL HOMELESS YOUTH AWARENESS MONTH; Congressional Record Vol. 153, No. 110",https://www.congress.gov/congressional-record/volume-153/issue-110/house-section/article/H7566-1,07/11/2007,,153,110,H7566
"RUNAWAY AND HOMELESS PROTECTION ACT; Congressional Record Vol. 154, No. 153",https://www.congress.gov/congressional-record/volume-154/issue-153/senate-section/article/S9548-1,09/25/2008,,154,153,S9548
"IMPROVING SERVICES FOR HOMELESS VETERANS; Congressional Record Vol. 152, No. 81",https://www.congress.gov/congressional-record/volume-152/issue-81/senate-section/article/S6275-2,06/21/2006,,152,81,S6275
"HOMELESS VETERANS ASSISTANCE ACT; Congressional Record Vol. 143, No. 80",https://www.congress.gov/congressional-record/volume-143/issue-80/house-section/article/H3583-1,06/10/1997,,143,80,H3583
"HOMES FOR HOMELESS VETERANS; Congressional Record Vol. 169, No. 20",https://www.congress.gov/congressional-record/volume-169/issue-20/house-section/article/H557-2,01/31/2023,,169,20,H557
"SUPPORTING HOMELESS CHILDREN AND YOUTH; Congressional Record Vol. 170, No. 150",https://www.congress.gov/congressional-record/volume-170/issue-150/senate-section/article/S6419-1,09/25/2024,,170,150,S6419
"CLOTHE A HOMELESS HERO ACT; Congressional Record Vol. 158, No. 170",https://www.congress.gov/congressional-record/volume-158/issue-170/house-section/article/H7446-1,12/30/2012,,158,170,H7446
"NATIONAL HOMELESS YOUTH AWARENESS MONTH; Congressional Record Vol. 154, No. 155",https://www.congress.gov/congressional-record/volume-154/issue-155/senate-section/article/S10020-6,09/27/2008,,154,155,S10020
"McKINNEY-VENTO HOMELESS ASSISTANCE ACT; Congressional Record Vol. 146, No. 126",https://www.congress.gov/congressional-record/volume-146/issue-126/house-section/article/H9796-3,10/11/2000,,146,126,H9796
"HOMELESS IN THE HEART; Congressional Record Vol. 143, No. 4",https://www.congress.gov/congressional-record/volume-143/issue-4/extensions-of-remarks-section/article/E111-4,01/21/1997,,143,4,E111
"McKINNEY-VENTO HOMELESS ASSISTANCE ACT; Congressional Record Vol. 163, No. 123",https://www.congress.gov/congressional-record/volume-163/issue-123/senate-section/article/S4108-3,07/20/2017,,163,123,S4108
