filename,source_url,year,date,congress_session,chamber,page_count,total_keyword_mentions,keywords_found,keyword_counts,status,count_homeless,count_homelessness,count_houseless,count_Houselessness,count_unhoused,count_tramp,count_vagrant,count_people_experiencing_homelessness,sample_context
GPO-CRECB-1954-pt5-6-1.pdf,https://www.congress.gov/83/crecb/1954/05/07/GPO-CRECB-1954-pt5-6-1.pdf,1954,"Thursday, May 6, 1954",81,Senate,45,2,homeless; houseless,"{'homeless': 1, 'houseless': 1}",success,1,0,1,0,0,0,0,0,"a portion of the repayment can the councils of nations. rials. So much for the uses of currencies be made in goods or services. A haven has been provided for hun accruing from the sale of farm products. 4. Still another country is prepared to open dreds of thousands of **homeless** and There is another important element in the negotiations !or the purchase of nearly 20 hopeless refugees, for displaced persons, proposal which I would like to emphasize. million bushels of corn to establish a sta for the persecuted and disinherited of No American program of this kind should be bilization"
GPO-CRECB-1955-pt4-10-1.pdf,https://www.congress.gov/84/crecb/1955/04/27/GPO-CRECB-1955-pt4-10-1.pdf,1955,"Wednesday, April 27, 1955",81,House,34,3,homeless; homelessness; unhoused,"{'homeless': 1, 'homelessness': 1, 'unhoused': 1}",success,1,1,0,0,1,0,0,0,"a l i a l n , t f r d o i s s t , about 3 States? Mr. THOMPSON of Texas. That is constant help of all those who are de ease, or other natural causes; correct; however, the overall acreage, if prived of their birthright, the **homeless** S. 1763. An act relating to the extension I am correctly informed from the other and the defenseless who are sacrificed and the final liquidation of the Commission to the results of misused power. on Organization of the Executi·ve Branch of end of the Capitol, will be considerably O Holy"
GPO-CRECB-1956-pt6-9-2.pdf,https://www.congress.gov/84/crecb/1956/05/10/GPO-CRECB-1956-pt6-9-2.pdf,1956,"THURSDAY, MAY 10, 1956",84,House,63,7,homeless; tramp,"{'homeless': 1, 'tramp': 6}",success,1,0,0,0,0,6,0,0,"all-around loyalty that innocent people by Soviet despotism, with . HON. ALEXANDER WILEY needs to be demonstrated. out the holocaust of a nuclear war. Such a war, we are all aware, would destroy OF WISCONSIN LOYALTY DAY CELEBRATIONS cities and nations. It would make the earth As we celebrate,. the **tramp** , tramp, tramp IN THE SENATE OF THE UNITED STATES a wasteland in which only the mutilated of our marching men thrills our hearts with Thursday, May 10, 1956 pride. e e s x c is a t p . ees of atomic and hydrogen war would Mr. WILEY. Mr. [...] loyalty that innocent people by Soviet despotism, with . HON. ALEXANDER WILEY needs to be demonstrated. out the holocaust of a nuclear war. Such a war, we are all aware, would destroy OF WISCONSIN LOYALTY DAY CELEBRATIONS cities and nations. It would make the earth As we celebrate,. the tramp, **tramp** , tramp IN THE SENATE OF THE UNITED STATES a wasteland in which only the mutilated of our marching men thrills our hearts with Thursday, May 10, 1956 pride. e e s x c is a t p . ees of atomic and hydrogen war would Mr. WILEY. Mr. President, [...] that innocent people by Soviet despotism, with . HON. ALEXANDER WILEY needs to be demonstrated. out the holocaust of a nuclear war. Such a war, we are all aware, would destroy OF WISCONSIN LOYALTY DAY CELEBRATIONS cities and nations. It would make the earth As we celebrate,. the tramp, tramp, **tramp** IN THE SENATE OF THE UNITED STATES a wasteland in which only the mutilated of our marching men thrills our hearts with Thursday, May 10, 1956 pride. e e s x c is a t p . ees of atomic and hydrogen war would Mr. WILEY. Mr. President, on Satur"
GPO-CRECB-1957-pt5-9-2.pdf,https://www.congress.gov/85/crecb/1957/05/06/GPO-CRECB-1957-pt5-9-2.pdf,1957,"MONDAY, MAY 6, 1957",84,House,56,4,homeless,{'homeless': 4},success,4,0,0,0,0,0,0,0,"of raeli shipping has no access to the new a surplus food program. At a time when undesirable !.nilitary personnel, that is, port of Elath from Haifa or Jaffa. The Israel was still admitting large numbers persons not acceptable to Ibn Saud and cargoes of Israeli ships which attempt of **homeless** Jewish refugees from Poland, his ·clique. This is nothing more than to pass through the canal may be con. . Hungary, and most desperate of all, Jews a· legalistic device to bar American fiscated, or even the ships themselves. who were being expelled from Egypt with Jews--who serve in the [...] trees planted in my name on the 'I'hrough studied and strenuous efforts, United States has also given funds and hills of Israel, and I am hoping that by 1948, Palestine had become a safe material aid to Israel. The Govern someday before too long I will have the refuge for **homeless** and destitute Jews. ment of this country has also been carry. . opportunity to see for myself all that And on May 15 of that year, when the· ing on a program of technical assistance has been happening in that brave Middle leaders of the Jewish people proclaimed. to aid [...] of the most ominous aspects of the and we must not relax our efforts in a refuge and opportunities for new pro Israeli-Arab conflict has been the extent a;ny way until her peaceful existence is ductive life to- the persecuted and the to which the Communists have seized up assured. **homeless** . Nasser's attack upon the on it .as a means for furthering-their own Mr. FARBSTEIN. Mr. Speaker, the Egyptian Jewish community has resulted aims. Without any pretense to seek ninth anniversary of the establishment in the expulsion of more than 15,000 justice Soviet Russia has seized upon this of the"
GPO-CRECB-1957-pt2-1-2.pdf,https://www.congress.gov/85/crecb/1957/02/04/GPO-CRECB-1957-pt2-1-2.pdf,1957,"Thursday, January 31, 1957",78,House,34,3,homeless,{'homeless': 3},success,3,0,0,0,0,0,0,0,"C. Van Curon, managing editor of the have to be replaced. necessary today. There was no water to boil. Harlan Daily Enterprise) Along the hillsides, household pets and Many people here haven't had a drink of HAZARD, KY., January 30.-Hundreds of . domestic animals roam in compatibility. water since yesterday. **homeless** r.esidents of this southeastern Ken Cats and dogs, once bitter enemies, are People living in hotels were hard hit. tucky mountain town stood in the mud and friendly. Hogs, cows, and horses share the They are living on cold canned food and fruit muck today, bewildered as they viewed the [...] on the way from Williamson, W. Va., and their city. People here can't go anywhere. struction that greeted me blanked out my Roanoj.rn, Va. Pikeville is in dire need of help. It has memory. The city's two hospitals, both on high been promised, but the problem is how to get **Homeless** lined the streets, standing in ground, felt the effects. Their basements it here. mud up to their knees, gazing at what had were :flooded, knocking out emergency gen ASKS FOR 1,000 COTS w o to n a c n e e d a e t b , r e e [...] is 22 miles east saying: school buildings. Reponse by the citizens of here. ""I figure we all have to pitch in now to was u·nusually good, Johnson said. Long The prevailing mood of the hundreds of do whatever we can, regardless of what lines of men, women, and children awaited **homeless** citizens and financially ruined happened to our loved ones."" their turn for the shots. businessmen was that ""we're broke together,'' Dr. Maurice Kamp, c;.irector of the Louis A special local Red Cross appeal was made Arnett said. ville-Jefferson County Health Department; today for funds to aid :flood victims. The CLEARING"
GPO-CRECB-1958-pt15-2.pdf,https://www.congress.gov/85/crecb/1958/08/22/GPO-CRECB-1958-pt15-2.pdf,1958,"FRIDAY, AuGusT 22, 1958",84,Senate,311,9,homeless,{'homeless': 9},success,9,0,0,0,0,0,0,0,"or citizens of Portu . . v1ded for the Issuance of 1,500 special gal who, because of natural calamity in the of the Umted States. ~Y bemg able to nonquota immigrant visas to Portugese Azores Islands subsequent to September 1, make these rep~esentatwns to the other nationals and citizens left **homeless** by 1957, are out of their usual place of abode in 26 member natwns of ICEM, I am cer- the terrible earthquakes and volcanic such islands and unable to return thereto, tain we will obtain.their participation in eruptions that shook the Azores in Sep and who are in urgent need [...] to Dutch nationals who were displaced Mr. McFALL. Mr. Speaker, I rise in canic activity. Hundreds of homes have from Indonesia. support of S. 3942, which would provide been destroyed. More than 5,000 people The Portuguese nationals were made nonquota visas for Portuguese refugees have been evacuated from the island. **homeless** by the tragic earthquakes and of the island of Fayal in the Azores, who Most of its 25,000 people have :flocked to volcanic eruptions in the Azores in 1957. were made homeless by the recent vol Horta, Fayal's principal seaport, desper I favor this legislation, Mr. Speaker, be canic eruption [...] 5,000 people The Portuguese nationals were made nonquota visas for Portuguese refugees have been evacuated from the island. homeless by the tragic earthquakes and of the island of Fayal in the Azores, who Most of its 25,000 people have :flocked to volcanic eruptions in the Azores in 1957. were made **homeless** by the recent vol Horta, Fayal's principal seaport, desper I favor this legislation, Mr. Speaker, be canic eruption on that island. ately seeking means of escape to other cause it carries out the traditional posi In the District which I represent in islands. tion of the United States to aid"
GPO-CRECB-1959-pt6-10-2.pdf,https://www.congress.gov/86/crecb/1959/05/14/GPO-CRECB-1959-pt6-10-2.pdf,1959,"THURSDAY, MAY 14, 1959",84,House,54,6,homeless; homelessness,"{'homeless': 5, 'homelessness': 1}",success,5,1,0,0,0,0,0,0,"· Egyptian press refers bitterly to the family of nations has resulted in basic The creation of the State of Israel catastrophe of Israel's emergence. changes in the-character-and composi should give hope to aU oppressed, divided, When Prime. Minister Nehru declared tion of wotld poiitics. In· the long· run, and **homeless** peoples. The obstacles on August 8, 1958, ·that the Arab States this development will be as important- which had to be met before the State must a0cept the existence of Israel if if not more important-than other ·ma of Israel could come into existence al peace is to be preserved [...] this and ingenuity in the building and in the Jews were in need of a haven of refuge. provision will receive the overwhelming improvement of their country. With The admission of so many people, most support of the Congress. enthusiasm and energy they have turned of whom were penniless and **homeless** , I extend my heartiest congratulations much of the desert of the Negev into fer is in itself a praiseworthy deed. Provid to the :people of Israel and to the Gov ... tile and cultivable land, and the hills of ing them with citizenship, employment, ernment of Israel on the [...] last war. In feeling of comfort, self-confidel).ce, and persecution but also drawn by the attrac tions of building a new civilization, emi ternal and international events have stability. For centuries, these brave peo grated from all parts of the world to a new contributed greatly in bringing about ple were **homeless** , held together only by land across the seas. They reclaimed that revolutionary changes, but perhaps none loyalty and religious belief, exiled from land from primeval devestation. They liber of them are of such significance as the their ancient and traditional homeland, ated themselves by arduous struggle from rise of"
GPO-CRECB-1959-pt7-2-1.pdf,https://www.congress.gov/86/crecb/1959/05/21/GPO-CRECB-1959-pt7-2-1.pdf,1959,"THURSDAY, MAY 21, 1959",85,Senate,80,6,homeless,{'homeless': 6},success,6,0,0,0,0,0,0,0,"humanly possible Mr. HUMPHREY. Certainly; I yield dent, I move that the Senate resume the to these unfortunate human beings who, for that purpose. consideration of legislative business. through no fault of their own, have been Mr. JOHNSON of Texas. I express The motion was agreed to; and the left **homeless** and impoverished. gratitude to the Senator for his coopera Senate resumed the consideration of First of all, we must realize that the tion and leadership at all times. I hope legislative business. refugee problem is not merely a tem all other Senators will be as generous porary one. There can [...] great as to en, and children. We have, of course, state the nomination under the heading stagger the imagination. It has been in the past few years admitted many ""New Report."" said, and only too accurately, that ours ~housands of such refugees, but only un is the century of the **homeless** man. der temporary-type legislation, such as It is estimated that in the past 30 the Refugee Relief Act of 1953. INTERNATIONAL ATOMIC ENERGY years some 150 million men, women, and I have proposed in my bill, S. 952, AGENCY children have been driven from their which now is before the [...] of Paul F. Foster, of Maryland, to 40 million new refugees have been Act of 1952 be amended so as to author be representative of the United States created. Of this number 15 million still ize the President to permit up to an of America to the International Atomic remain **homeless** . estimated 83,000 refugees-escapees to en Energy Agency. Each year another million people be ter the United States each year. I do The PRESIDING OFFICER. Without objection, the nomination is confirmed. come refugees. not think that is asking too much. As . This week there was brought to my a"
GPO-CRECB-1959-pt1-13-1.pdf,https://www.congress.gov/86/crecb/1959/01/26/GPO-CRECB-1959-pt1-13-1.pdf,1959,"MONDAY, JANUARY 26, 1959",86,House,16,2,homeless,{'homeless': 2},success,2,0,0,0,0,0,0,0,"feelings of COMMITTEE ON RULES cluding hundreds of acres of land, with concern and considerateness for Thy Mr. SMITH of Virginia. Mr. Speaker, every facility of stock and equipment. needy children who are hungry and I ask unanimous consent that the Com From this farm he went to the greatest **homeless** and hopeless. mittee on Rules may have until midnight parliament in the world. Daily may we gird ourselves with tonight to file certain privileged reports. ""Seest thou a man diligent in his busi courage and confidence as we seek to The SPEAKER. Is there objection to ness? He shall stand [...] offered his assistance in con;t Sincerely yours, Mr. ASPINALL. Mr. Speaker, there mittee, and on the floor of the House m CHAS. W. HOLCOMB, Manager. are some men with whom we walk who any action which might be necessary to bring challenge, inspiration, understand give relief to the thousands of **homeless** ing, confidence, and pleasure to the as BROTHERHOOD OF RAILWAY CLERKS, in the State of Ohio. This is the way he sociation. Such a one was our late and GATEWAY LODGE No. 2024, ended his life, making probably his last beloved colleague, GEORGE CHRISTOPHER. · Kansas City, Mo., March 9,"
GPO-CRECB-1960-pt9-2-1.pdf,https://www.congress.gov/86/crecb/1960/05/27/GPO-CRECB-1960-pt9-2-1.pdf,1960,"FRIDAY, MAY 27, 1960",86,Senate,42,11,homeless,{'homeless': 11},success,11,0,0,0,0,0,0,0,"a mighty mission of mer More than 5,100 persons have been reported namely, the 20-ply traction-tread 18 cy-32 doctors, 62 nurses, more·t han 350 dead or missing in the Chilean disaster, and by 24-and was paying an average price Medical Corps men, 10 of the Army's more than 2 million **homeless** . of $413.99 each. newest :flying ambulances, and hundreds To help the helpless, mend the wounded and ward off disease epidemics, the Army On December 3, 1959, at the same of tons of equipment have been sent to dispatched 32 doctors, 62 nurses and more arsenal in California, the Government [...] world. The mercy airlift was the first major step ferred to him some time ago, stated that I ask unanimous consent to have in in a Western Hemisphere program to aid the they found in many of the supply depots serted in the RECORD the latest news sto stricken and **homeless** .· In one 600-mile strip unnecessarily large quantities of this ries from the Washington Post on our of the coastal and mountainous country some 65 percent of 3 million inhabitants are type of tire in inventory; yet the Gov mission, Operation Chile. reported trapped and homeless. Mile-long ernment was still [...] latest news sto stricken and homeless.· In one 600-mile strip unnecessarily large quantities of this ries from the Washington Post on our of the coastal and mountainous country some 65 percent of 3 million inhabitants are type of tire in inventory; yet the Gov mission, Operation Chile. reported trapped and **homeless** . Mile-long ernment was still buying some of the There being no objection, the articles strips of highways are under water and im same type of equipment. were ordered to be printed in the RECORD, passable. We want to see our Defense Depart as follows: The rescue personnel is moving"
